Federal
Single
Bracket, Marginal Rate
0,10
9526,12
38701,22
82501,24
157501,32
200001,35
500001,37
Married Filing Jointly
Bracket, Marginal Rate
0,10
19051,12
77401,22
165001,24
315001,32
400001,35
600001,37
Married Filing Separately
Bracket, Marginal Rate
0,10
9526,12
38701,22
82501,24
157501,32
200001,35
300001,37
Head of Household
Bracket, Marginal Rate
0,10
13601,12
51801,22
82501,24
157501,32
200001,35
500001,37

Alabama
Single
Bracket, Marginal Rate
0,2
501,4
3001,5
Married Filing Jointly
Bracket, Marginal Rate
0,2
1001,4
6001,5
Married Filing Separately
Bracket, Marginal Rate
0,2
501,4
3001,5
Head of Household
Bracket, Marginal Rate
0,2
501,4
3001,5

Alaska
Single
Bracket, Marginal Rate
No state income tax
Married Filing Jointly
Bracket, Marginal Rate
No state income tax
Married Filing Separately
Bracket, Marginal Rate
No state income tax
Head of Household
Bracket, Marginal Rate
No state income tax

Arizona
Single
Bracket, Marginal Rate
0,2.59
10347,2.88
25862,3.36
51722,4.24
155160,4.54
Married Filing Jointly
Bracket, Marginal Rate
0,2.59
20691,2.88
51722,3.36
103441,4.24
310318,4.54
Married Filing Separately
Bracket, Marginal Rate
0,2.59
10347,2.88
25862,3.36
51722,4.24
155160,4.54
Head of Household
Bracket, Marginal Rate
0,2.59
20691,2.88
51722,3.36
103441,4.24
310318,4.54

Arkansas
Single
Bracket, Marginal Rate
0,0.9
4400,2.4
8700,3.4
13100,4.4
21700,5
36300,6
77401,6.9
Married Filing Jointly
Bracket, Marginal Rate
0,0.9
4400,2.4
8700,3.4
13100,4.4
21700,5
36300,6
77401,6.9
Married Filing Separately
Bracket, Marginal Rate
0,0.9
4400,2.4
8700,3.4
13100,4.4
21700,5
36300,6
77401,6.9
Head of Household
Bracket, Marginal Rate
0,0.9
4400,2.4
8700,3.4
13100,4.4
21700,5
36300,6
77401,6.9

California
Single
Bracket, Marginal Rate
0,1
8545,2
20256,4
31970,6
44378,8
56086,9.3
286493,10.3
343789,11.3
572981,12.3
Married Filing Jointly
Bracket, Marginal Rate
0,1
17089,2
40511,4
63939,6
88755,8
112171,9.3
572985,10.3
687577,11.3
1145961,12.3
Married Filing Separately
Bracket, Marginal Rate
0,1
8545,2
20256,4
31970,6
44378,8
56086,9.3
286493,10.3
343789,11.3
572981,12.3
Head of Household
Bracket, Marginal Rate
0,1
17100,2
40513,4
52225,6
64633,8
76344,9.3
389628,10.3
467554,11.3
779254,12.3

Colorado
Single
Bracket, Marginal Rate
0,4.63
Married Filing Jointly
Bracket, Marginal Rate
0,4.63
Married Filing Separately
Bracket, Marginal Rate
0,4.63
Head of Household
Bracket, Marginal Rate
0,4.63

Connecticut
Single
Bracket, Marginal Rate
0,3
10001,5
50001,5.5
100001,6
200001,6.5
250001,6.9
500001,6.99
Married Filing Jointly
Bracket, Marginal Rate
0,3
20001,5
100001,5.5
200001,6
400001,6.5
500001,6.9
1000001,6.99
Married Filing Separately
Bracket, Marginal Rate
0,3
10001,5
50001,5.5
100001,6
200001,6.5
250001,6.9
500001,6.99
Head of Household
Bracket, Marginal Rate
0,3
16001,5
80001,5.5
160001,6
320001,6.5
400001,6.9
800001,6.99

Delaware
Single
Bracket, Marginal Rate
0,0
2001,2.2
5001,3.9
10001,4.8
20001,5.2
25001,5.5
60001,6.6
Married Filing Jointly
Bracket, Marginal Rate
0,0
2001,2.2
5001,3.9
10001,4.8
20001,5.2
25001,5.5
60001,6.6
Married Filing Separately
Bracket, Marginal Rate
0,0
2001,2.2
5001,3.9
10001,4.8
20001,5.2
25001,5.5
60001,6.6
Head of Household
Bracket, Marginal Rate
0,0
2001,2.2
5001,3.9
10001,4.8
20001,5.2
25001,5.5
60001,6.6

Florida
Single
Bracket, Marginal Rate
No state income tax
Married Filing Jointly
Bracket, Marginal Rate
No state income tax
Married Filing Separately
Bracket, Marginal Rate
No state income tax
Head of Household
Bracket, Marginal Rate
No state income tax

Georgia
Single
Bracket, Marginal Rate
0,1
751,2
2251,3
3751,4
5251,5
7001,6
Married Filing Jointly
Bracket, Marginal Rate
0,1
1001,2
3001,3
5001,4
7001,5
10001,6
Married Filing Separately
Bracket, Marginal Rate
0,1
501,2
1501,3
2501,4
3501,5
5001,6
Head of Household
Bracket, Marginal Rate
0,1
1001,2
3001,3
5001,4
7001,5
10001,6

Hawaii
Single
Bracket, Marginal Rate
0,1.4
2401,3.2
4801,5.5
9601,6.4
14401,6.8
19201,7.2
24001,7.6
36001,7.9
48001,8.25
150001,9
175001,10
200001,11
Married Filing Jointly
Bracket, Marginal Rate
0,1.4
4801,3.2
9601,5.5
19201,6.4
28801,6.8
38401,7.2
48001,7.6
72001,7.9
96001,8.25
300001,9
350001,10
400001,11
Married Filing Separately
Bracket, Marginal Rate
0,1.4
2401,3.2
4801,5.5
9601,6.4
14401,6.8
19201,7.2
24001,7.6
36001,7.9
48001,8.25
150001,9
175001,10
200001,11
Head of Household
Bracket, Marginal Rate
0,1.4
3601,3.2
7201,5.5
14401,6.4
21601,6.8
28801,7.2
36001,7.6
54001,7.9
72001,8.25
225001,9
262501,10
300001,11

Idaho
Single
Bracket, Marginal Rate
0,1.125
1504,3.125
3008,3.625
4511,4.625
6015,5.625
7519,6.625
11279,6.925
Married Filing Jointly
Bracket, Marginal Rate
0,1.125
3008,3.125
6016,3.625
9022,4.625
12030,5.625
15038,6.625
22558,6.925
Married Filing Separately
Bracket, Marginal Rate
0,1.125
1504,3.125
3008,3.625
4511,4.625
6015,5.625
7519,6.625
11279,6.925
Head of Household
Bracket, Marginal Rate
0,1.125
3008,3.125
6016,3.625
9022,4.625
12030,5.625
15038,6.625
22558,6.925

Illinois
Single
Bracket, Marginal Rate
0,4.95
Married Filing Jointly
Bracket, Marginal Rate
0,4.95
Married Filing Separately
Bracket, Marginal Rate
0,4.95
Head of Household
Bracket, Marginal Rate
0,4.95

Indiana
Single
Bracket, Marginal Rate
0,3.23
Married Filing Jointly
Bracket, Marginal Rate
0,3.23
Married Filing Separately
Bracket, Marginal Rate
0,3.23
Head of Household
Bracket, Marginal Rate
0,3.23

Iowa
Single
Bracket, Marginal Rate
0,0.36
1599,0.72
3197,2.43
6393,4.5
14383,6.12
23971,6.48
31961,6.8
47941,7.92
71911,8.98
Married Filing Jointly
Bracket, Marginal Rate
0,0.36
1599,0.72
3197,2.43
6393,4.5
14383,6.12
23971,6.48
31961,6.8
47941,7.92
71911,8.98
Married Filing Separately
Bracket, Marginal Rate
0,0.36
1599,0.72
3197,2.43
6393,4.5
14383,6.12
23971,6.48
31961,6.8
47941,7.92
71911,8.98
Head of Household
Bracket, Marginal Rate
0,0.36
1599,0.72
3197,2.43
6393,4.5
14383,6.12
23971,6.48
31961,6.8
47941,7.92
71911,8.98

Kansas
Single
Bracket, Marginal Rate
0,3.1
15001,5.25
30001,5.7
Married Filing Jointly
Bracket, Marginal Rate
0,3.1
30001,5.25
60001,5.7
Married Filing Separately
Bracket, Marginal Rate
0,3.1
15001,5.25
30001,5.7
Head of Household
Bracket, Marginal Rate
0,3.1
15001,5.25
30001,5.7

Kentucky
Single
Bracket, Marginal Rate
0,5
Married Filing Jointly
Bracket, Marginal Rate
0,5
Married Filing Separately
Bracket, Marginal Rate
0,5
Head of Household
Bracket, Marginal Rate
0,5

Louisiana
Single
Bracket, Marginal Rate
0,2
12501,4
50001,6
Married Filing Jointly
Bracket, Marginal Rate
0,2
25001,4
100001,6
Married Filing Separately
Bracket, Marginal Rate
0,2
12501,4
50001,6
Head of Household
Bracket, Marginal Rate
0,2
12501,4
50001,6

Maine
Single
Bracket, Marginal Rate
0,5.8
21450,6.75
50750,7.15
Married Filing Jointly
Bracket, Marginal Rate
0,5.8
42900,6.75
101550,7.15
Married Filing Separately
Bracket, Marginal Rate
0,5.8
21450,6.75
50750,7.15
Head of Household
Bracket, Marginal Rate
0,5.8
32150,6.75
76150,7.15

Maryland
Single
Bracket, Marginal Rate
0,2
1001,3
2001,4
3001,4.75
100001,5
125001,5.25
150001,5.5
250001,5.75
Married Filing Jointly
Bracket, Marginal Rate
0,2
1001,3
2001,4
3001,4.75
150001,5
175001,5.25
225001,5.5
300001,5.75
Married Filing Separately
Bracket, Marginal Rate
0,2
1001,3
2001,4
3001,4.75
100001,5
125001,5.25
150001,5.5
250001,5.75
Head of Household
Bracket, Marginal Rate
0,2
1001,3
2001,4
3001,4.75
150001,5
175001,5.25
225001,5.5
300001,5.75

Massachusetts
Single
Bracket, Marginal Rate
0,5.1
Married Filing Jointly
Bracket, Marginal Rate
0,5.1
Married Filing Separately
Bracket, Marginal Rate
0,5.1
Head of Household
Bracket, Marginal Rate
0,5.1

Michigan
Single
Bracket, Marginal Rate
0,4.25
Married Filing Jointly
Bracket, Marginal Rate
0,4.25
Married Filing Separately
Bracket, Marginal Rate
0,4.25
Head of Household
Bracket, Marginal Rate
0,4.25

Minnesota
Single
Bracket, Marginal Rate
0,5.35
25891,7.05
85061,7.85
160021,9.85
Married Filing Jointly
Bracket, Marginal Rate
0,5.35
37851,7.05
150381,7.85
266701,9.85
Married Filing Separately
Bracket, Marginal Rate
0,5.35
18931,7.05
75191,7.85
133351,9.85
Head of Household
Bracket, Marginal Rate
0,5.35
31881,7.05
128091,7.85
213361,9.85

Mississippi
Single
Bracket, Marginal Rate
0,3
5001,4
10001,5
Married Filing Jointly
Bracket, Marginal Rate
0,3
5001,4
10001,5
Married Filing Separately
Bracket, Marginal Rate
0,3
5001,4
10001,5
Head of Household
Bracket, Marginal Rate
0,3
5001,4
10001,5

Missouri
Single
Bracket, Marginal Rate
0,1.5
1009,2
2017,2.5
3025,3
4033,3.5
5041,4
6049,4.5
7057,5
8065,5.5
9073,6
Married Filing Jointly
Bracket, Marginal Rate
0,1.5
1009,2
2017,2.5
3025,3
4033,3.5
5041,4
6049,4.5
7057,5
8065,5.5
9073,6
Married Filing Separately
Bracket, Marginal Rate
0,1.5
1009,2
2017,2.5
3025,3
4033,3.5
5041,4
6049,4.5
7057,5
8065,5.5
9073,6
Head of Household
Bracket, Marginal Rate
0,1.5
